Seconds,Alpha,Red,Green,Blue
252,6,11,35,53
253,-16,-64,-128,-256
254,-1,-6,-10,-19
255,-33,-2,-35,-299
256,-6,-17,-47,-137
257,-55,-219,-164,-1429
258,1,5,10,11
259,9,44,26,116
260,11,12,23,331
261,-4,-24,-72,-52
262,-11,-43,-65,-197
263,4,21,21,93
264,-38,-37,-683,-37
265,10,38,158,228
266,15,3,18,3
267,12,12,12,144
268,-16,-16,0,-112
269,-27,-55,-487,-433
270,-20,-20,-160,-220
271,-21,-84,-42,-609
272,42,168,420,672
273,11,43,153,153
274,5,35,10,20
275,0,1,1,1
276,-6,-28,-40,-46
277,-18,-124,-34,-502
278,7,14,7,7
279,-10,-22,-112,-112
280,-28,-139,-223,-755
281,4,24,56,4
282,-4,-6,-14,-86
283,-3,-12,-3,-3
284,5,21,21,66
285,-4,-27,-19,-55
286,-2,-6,-32,-32
287,1,8,4,13
288,-21,-104,1,-104
289,15,76,211,256
290,-34,-102,-340,-918
291,24,23,143,623
292,33,131,65,923
293,25,1,76,76
294,21,106,295,337
295,-17,-52,-307,-18
296,-11,-57,-101,-35
297,-16,-64,-208,-464
298,-13,-27,-66,-131
299,-23,-113,-113,-504
300,-6,-16,-100,-112
301,-21,-20,-251,-335
302,-12,-23,-167,-155
303,13,1,14,378
304,31,247,340,216
305,-19,-77,-286,-58
306,-3,-21,-21,-87
307,-38,-39,-495,-951
308,5,29,74,99
309,42,295,505,673
310,15,45,150,405
311,-21,-4,-25,-487
312,13,64,103,194
313,23,70,208,139
314,0,1,1,1
315,-2,-7,-9,-3
316,19,19,114,114
317,13,53,79,274
318,14,2,128,422
319,3,10,1,58
320,1,9,9,19
321,37,222,629,185
322,5,10,35,90
323,-2,-2,-8,-48
324,25,124,224,274
325,-21,-41,-335,-671
326,-7,-8,-113,-15
327,-24,-118,2,-550
328,-4,-9,-45,-25
329,10,1,41,221
330,32,33,545,769
331,23,45,91,45
332,5,31,21,156
333,-10,-72,-52,-192
334,3,7,4,64
335,20,60,340,420
336,-32,-33,-577,-641
337,-56,-280,-280,-504
338,19,133,57,228
339,-19,-132,-37,-37
340,-25,0,-275,-750
341,16,64,0,368
342,4,25,57,1
343,5,1,81,91
344,-25,0,-75,-325
345,-23,-91,-252,-114
346,1,6,15,16
347,10,49,69,19
348,-37,-297,-149,-112
349,-12,-96,-156,-312
350,17,50,254,339
351,-2,0,-18,-32
352,22,44,242,330
353,32,256,128,736
354,-10,-21,-181,-301
355,10,8,58,178
356,8,49,113,225
357,-6,-11,-89,-71
358,5,1,71,126
359,-11,-57,-90,-57
360,14,112,224,14
361,-7,-51,-65,-30
362,10,21,71,21
363,3,14,38,71
364,-1,0,-9,-27
365,36,286,322,34
366,-33,-65,-164,-527
367,26,28,340,106
368,-2,-5,-23,-35
369,9,64,118,82
370,3,22,7,73
371,-24,0,-144,-600
372,2,8,4,16
373,-1,-5,-5,-22
374,48,241,769,721
375,-53,-103,-845,-368
376,-3,-11,-38,-83
377,16,49,81,65
378,4,9,5,17
379,-11,-56,-122,-210
380,4,-3,57,105
381,-16,-63,-159,-31
382,44,309,441,1277
383,-23,-24,-116,-300
384,19,39,39,153
385,39,0,390,390
386,8,65,89,209
387,30,30,60,120
388,27,28,460,217
389,7,27,111,188
390,3,6,33,18
391,-13,-13,-208,-273
392,-52,-364,-364,-1352
393,3,13,10,88
394,-31,-217,-403,-806
395,14,85,29,141
396,21,167,83,356
397,31,216,185,805
398,-2,-11,-23,-27
399,2,6,4,30
400,-25,-125,-450,-725
401,31,93,155,930
402,-19,-76,-19,-570
403,-24,-119,-47,-335
404,-1,-4,-7,-17
405,6,24,54,156
406,15,-2,193,358
407,-19,-38,-228,-608
408,26,157,157,547
409,-12,-35,-143,-47
410,-21,-64,-295,-673
411,-9,-26,-44,-8
412,-9,-46,-100,-136
413,27,161,242,161
414,2,3,25,33
415,-18,-37,-217,-19
416,-7,-30,-72,-149
417,2,4,32,60
418,-23,-161,-184,-713
419,41,83,575,1149
420,-33,-231,-396,-1056
421,-27,-109,-82,-271
422,2,5,5,-1
423,-2,-6,-24,-42
424,-13,-25,-116,-12
425,39,79,391,586
426,-2,0,-26,-50
427,10,40,150,110
428,-14,-83,1,-349
429,2,10,32,10
430,-36,-109,-577,-361
431,16,94,254,94
432,-4,-13,-17,-113
433,3,12,42,3
434,60,240,840,1140
435,30,30,540,240
436,33,66,429,759
437,-25,-125,-225,-200
438,-28,-225,-365,-701
439,27,2,29,83
440,19,133,209,342
441,-27,-163,-406,-838
442,27,136,325,325
443,-6,-13,-55,-187
444,-3,-10,-19,-31
445,19,113,37,341
446,-10,0,-120,-30
447,6,19,43,139
448,27,27,0,216
449,30,59,329,629
450,-5,-21,-11,-91
451,13,14,105,14
452,-28,-56,0,-252
453,-11,-55,-22,-297
454,-13,-66,-222,-105
455,1,3,11,26
456,-29,-58,0,-87
457,38,1,647,533
458,23,137,160,252
459,-8,-23,-127,-127
460,10,60,0,260
461,-10,-81,-41,-161
462,-25,-125,-125,-625
463,18,-1,251,539
464,22,153,329,417
465,4,14,22,118
466,-10,-49,-39,-199
467,-2,-8,-34,-54
468,-20,-121,-261,-241
469,-30,-31,-121,-841
470,-36,-71,-215,-467
471,-12,-48,-204,-96
472,-21,-107,-170,-338
473,-3,-15,-45,-72
474,8,64,24,8
475,-13,-66,-27,-92
476,-7,-26,-89,-103
477,0,0,0,0
478,8,46,78,238
479,37,149,334,371
480,-40,-41,-241,-121
481,10,70,160,40
482,39,155,506,662
483,-16,-96,-224,-240
484,-18,-36,-90,-432
485,-7,-8,-43,-71
486,-6,-19,-97,-163
487,52,313,261,1405
488,2,4,12,44
489,-22,-22,-66,-352
490,15,92,182,257
491,-25,-175,-175,-300
492,1,1,7,12
493,8,17,9,161
494,16,113,33,225
495,-1,-6,1,0
496,3,10,7,19
497,11,11,0,0
498,21,42,315,21
499,1,3,12,28
500,-18,-54,0,-36
501,10,69,59,9
502,20,141,61,561
503,-8,-56,-24,-136
504,10,32,112,62
505,21,21,273,294
506,-27,-213,-240,-780
507,1,4,14,0
508,-14,-98,-224,-252
509,-16,-80,-144,-416
510,-19,0,-304,-551
511,-19,-112,-302,-568
512,19,57,133,266
513,29,31,350,843
514,1,0,8,5
515,-55,-54,-879,-1099
516,-23,-91,-22,-344
517,-33,-166,-364,-265
518,17,51,85,153
519,27,217,433,676
520,-14,-71,-29,-43
521,11,12,111,276
522,14,41,97,83
523,19,135,40,477
524,5,36,91,136
525,-20,-18,-278,-318
526,36,71,503,827
527,-3,-16,-1,-73
528,-14,-70,-112,-56
529,16,63,127,47
530,12,84,120,96
531,-20,-98,-98,-178
532,26,0,182,650
533,-8,-41,-33,-209
534,44,263,307,1319
535,22,88,22,440
536,9,1,145,190
537,34,67,543,373
538,1,4,10,15
539,-2,-6,-6,0
540,-23,-163,-71,-94
541,41,206,657,862
542,20,100,180,40
543,24,192,408,48
544,1,3,2,28
545,-2,-14,-14,-22
546,17,68,153,17
547,1,5,8,6
548,-8,-48,-24,-200
549,-26,-53,-261,-157
550,3,9,42,66
551,28,168,168,420
552,5,29,9,154
553,18,37,217,487
554,7,22,78,71
555,-32,-159,-287,-831
556,-7,-21,-63,-14
557,22,66,374,638
558,9,0,54,72
559,-3,-10,-52,-22
560,3,18,39,33
561,-5,-25,-60,-5
562,2,7,3,39
563,-1,-4,0,-24
564,-3,-18,-6,-42
565,11,23,45,265
566,13,14,14,248
567,29,174,406,203
568,-23,-116,-300,-300
569,23,94,347,600
570,0,1,1,1
571,-16,-47,-191,-319
572,8,39,127,47
573,7,43,120,78
574,-24,-120,-288,-360
575,-3,-4,-1,-64
576,-7,-50,-120,-134
577,-46,-91,-413,-229
578,39,194,116,1208
579,-6,-30,-78,-108
580,-31,-92,-340,-464
581,20,21,201,621
582,27,82,1,541
583,-6,-30,-84,-168
584,-33,-264,-66,-264
585,27,189,405,378
586,31,0,465,279
587,-12,-60,-192,-72
588,0,0,0,0
589,3,22,13,22
590,3,11,47,68
591,-16,-112,-208,-16
592,6,5,71,65
593,5,4,9,99
594,-7,-50,-78,-36
595,1,1,16,9
596,1,0,12,20
597,-22,-44,-286,-264
598,-17,-120,-205,-256
599,3,26,14,35
600,-57,-56,-797,-626
601,-6,-36,-66,-24
602,-18,-36,-306,-252
603,3,16,19,67
604,-10,-31,-21,-51
605,29,205,2,60
606,-23,-1,-47,-461
607,24,144,96,648
608,-17,-17,-17,-221
609,47,235,376,1034
610,-9,-63,-126,-261
611,5,10,85,25
612,-25,-199,-24,-724
613,-28,-84,-224,-476
614,-11,-10,-109,-21
615,7,5,61,208
616,7,35,35,119
617,11,33,176,66
618,-12,-11,-59,-383
619,-19,-114,-285,-304
620,27,27,378,189
621,-28,0,-392,-644
622,-52,-51,-103,-467
623,-20,-119,-119,-539
624,-3,0,-33,-72
625,9,28,46,91
626,35,140,420,735
627,28,28,504,140
628,-12,-48,-216,-48
629,8,46,-2,86
630,-3,-17,-26,-5
631,-3,-3,-3,-24
632,-13,-105,-66,-66
633,-16,-15,-159,-495
634,-10,-12,-112,-102
635,-9,-62,-80,-98
636,17,85,170,527
637,20,100,40,560
638,-3,-17,-44,-11
639,10,39,-1,49
640,-2,-4,-18,-6
641,-6,-7,-55,-115
642,14,29,71,197
643,-19,-95,-323,-133
644,-16,-17,-289,-65
645,-10,-30,-120,-200
646,6,42,0,48
647,18,110,218,470
648,-8,-63,-127,-127
649,32,97,65,577
650,21,42,273,378
651,50,150,250,450
652,17,34,187,425
653,1,4,1,10
654,9,35,-1,197
655,-9,-71,-134,-233
656,-17,-35,-256,-256
657,7,1,78,29
658,-19,-97,-59,-534
659,-24,0,-144,-264
660,-3,-2,-14,-5
661,14,1,85,43
662,-6,-5,-35,-161
663,-7,-55,-118,-13
664,22,23,199,155
665,10,0,120,40
666,-13,-26,-52,-26
667,4,32,60,104
668,-4,0,-44,-64
669,-9,-27,-54,-135
670,7,35,126,189
671,0,-2,-2,-2
672,30,60,270,450
673,-23,-92,-322,-69
674,-3,-21,-51,-45
675,37,297,297,1111
676,18,-1,143,107
677,-29,-205,-205,-582
678,-31,-1,-187,-466
679,7,54,61,180
680,17,67,84,101
681,3,18,30,30
682,20,140,120,440
683,6,25,67,37
684,-51,-256,-562,-1378
685,-11,-66,-132,-286
686,-12,1,-167,-371
687,0,0,0,0
688,20,41,241,221
689,13,92,118,326
690,12,24,60,204
691,29,86,289,579
692,12,59,191,323
693,3,3,-3,48
694,-15,-121,-196,-196
695,41,123,328,492
696,9,63,99,153
697,-23,-138,-322,-713
698,-21,-146,-167,-335
699,-21,-105,-357,-504
700,9,35,134,98
701,-11,-44,-110,-77
702,25,28,28,528
703,-3,-13,-7,-67
704,25,174,199,474
705,-18,-72,-306,-522
706,-25,-50,-275,-725
707,-38,-115,-153,-647
708,27,27,243,189
709,-25,-175,-100,-625
710,-22,-66,-110,-110
711,-8,-23,-15,-55
712,27,162,351,270
713,-7,-1,-1,-127
714,-31,0,-372,-527
715,39,80,80,665
716,-7,-8,-1,-127
717,30,89,449,479
718,-5,-40,-55,-55
719,24,-1,143,47
720,35,173,138,663
721,5,20,50,45
722,-3,-10,-4,-85
723,12,96,216,72
724,-30,-61,-511,-211
725,19,57,209,361
726,45,180,405,630
727,5,40,80,55
728,-18,-19,-307,-487
729,-22,-155,-45,-309
730,0,-2,-2,-2
731,2,6,32,20
732,-12,-13,-97,-13
733,17,118,50,101
734,16,81,257,145
735,7,14,98,35
736,-16,-128,-256,-384
737,7,42,98,14
738,6,38,8,158
739,23,115,253,46
740,10,60,170,90
741,-3,-3,-24,-21
742,-10,-30,-80,-20
743,22,67,45,441
744,-20,-39,-39,-219
745,19,56,170,18
746,-14,-55,-13,-223
747,12,59,11,107
748,23,162,24,323
749,-12,-35,-215,-83
750,-28,-195,-251,-335
751,-19,-79,-193,-535
752,30,239,59,719
753,10,59,179,309
754,20,100,240,600
755,-7,-23,-79,-226
756,23,162,392,622
757,23,70,392,553
758,46,1,507,1151
759,-26,-101,-23,-361
760,-34,-33,-543,-985
761,22,155,89,397
762,26,77,129,259
763,-26,-79,-53,-781
764,14,67,207,11
765,28,112,84,56
766,7,9,58,37
767,-48,-49,-337,-193
768,-11,-43,-142,-263
769,12,22,166,262
770,0,1,1,1
771,19,96,134,552
772,-10,-80,-10,-230
773,16,48,256,64
774,-2,-10,-32,-12
775,-18,-126,-108,-90
776,-3,-21,-39,-63
777,-37,-185,-333,-1110
778,8,47,103,215
779,-15,-59,-179,-344
780,-34,-205,-69,-103
781,-19,-115,-77,-305
782,-3,-6,-24,-90
783,-2,-14,-26,-22
784,15,75,45,0
785,-10,1,-29,-69
786,-23,1,-206,-137
787,36,144,648,612
788,-2,-14,-22,-32
789,27,187,187,187
790,-7,-50,-8,-15
791,-29,-87,-493,-725
792,11,12,188,199
793,21,61,124,313
794,-3,-6,-51,-42
795,8,49,145,153
796,11,21,65,43
797,10,78,68,298
798,4,5,53,49
799,-38,-266,-646,-228
800,-1,10,-7,-4
801,-8,10,-95,-79
802,3,10,6,39
803,-9,10,-64,-28
804,2,10,6,24
805,8,10,72,136
806,-12,10,-1,-289
807,-17,10,-290,-307
808,2,10,27,9
809,48,10,48,144
810,35,10,419,1014
811,23,10,114,689
812,30,10,449,959
813,-11,10,-98,-186
814,-4,10,-68,-84
815,5,10,81,71
816,11,10,145,222
817,4,10,68,80
818,-8,10,-66,-114
819,-34,10,-442,-510
820,-29,10,-492,-579
821,1,10,7,24
822,11,10,86,-2
823,2,10,11,25
824,-4,10,-20,-56
825,3,10,12,90
826,-43,10,-387,-1204
827,24,10,311,455
828,3,10,47,74
829,3,10,24,33
830,17,10,306,476
831,19,10,265,75
832,-13,10,-211,-289
833,27,10,241,511
834,37,10,111,592
835,14,10,14,28
836,16,10,144,336
837,-20,10,-220,-460
838,9,10,19,208
839,50,10,451,901
840,11,10,22,165
841,-26,10,-208,-780
842,-18,10,-36,-450
843,-20,10,-140,-360
844,-21,10,-105,-231
845,23,10,228,343
846,44,10,439,967
847,-18,10,-217,-577
848,-47,10,-93,-328
849,-15,10,-91,-91
850,-11,10,-21,-21
851,17,10,51,544
852,8,10,64,120
853,-33,10,-134,-827
854,12,10,144,372
855,-31,10,-61,-340
856,-20,10,-20,-320
857,-6,10,1,-35
858,-45,10,-271,-1036
859,6,10,97,79
860,19,10,285,418
861,27,10,324,405
862,17,10,205,307
863,-15,10,-105,-300
864,1,10,13,24
865,2,10,1,13
866,-20,10,-179,-119
867,-21,10,-337,-589
868,3,10,40,28
869,15,10,212,332
870,-10,10,-100,-280
871,7,10,106,162
872,-16,10,-49,-417
873,0,10,-1,-1
874,-23,10,-323,-1
875,13,10,208,117
876,-10,10,-20,-200
877,-20,10,-80,-180
878,31,10,464,433
879,-8,10,-80,-72
880,-18,10,-52,-178
881,-16,10,-273,-337
882,29,10,172,549
883,26,10,156,598
884,-24,10,2,-262
885,6,10,48,96
886,4,10,16,24
887,20,10,121,461
888,27,10,27,162
889,-14,10,-100,-310
890,37,10,555,111
891,-34,10,-272,-918
892,-8,10,-49,-41
893,-7,10,-84,-42
894,-31,10,-341,-775
895,-6,10,-28,-76
896,-35,10,-106,-36
897,23,10,323,185
898,-9,10,-36,-180
899,-18,10,-286,-358
900,28,10,0,560
901,12,60,60,96
902,9,26,134,80
903,-14,-14,-28,-294
904,35,1,246,316
905,17,85,136,289
906,3,12,9,75
907,-14,-70,-154,-378
908,15,105,135,330
909,23,90,251,435
910,-24,-120,-48,-240
911,5,20,35,95
912,-22,-108,-152,-196
913,9,54,63,162
914,1,0,18,25
915,14,14,154,28
916,-27,-189,-270,-324
917,-4,-32,-16,-68
918,6,11,107,113
919,-15,-16,-151,-331
920,3,8,11,92
921,6,6,96,12
922,6,35,59,47
923,-12,-70,-94,-10
924,2,7,31,35
925,-14,-1,-127,-15
926,-4,-1,-49,-21
927,4,14,34,78
928,2,2,36,14
929,24,49,409,745
930,30,91,511,211
931,12,58,10,334
932,-28,-140,-420,-280
933,4,13,61,5
934,-47,-142,-189,-706
935,25,51,176,301
936,-2,-9,-5,-47
937,-28,-168,-280,-504
938,-1,-3,-6,-17
939,32,128,480,128
940,18,1,1,91
941,8,39,111,127
942,-8,-24,-80,-128
943,-6,0,-6,-60
944,-4,-23,-67,-95
945,16,126,270,398
946,-14,-29,-253,-127
947,-6,-19,-25,-109
948,13,13,39,26
949,5,14,34,154
950,-3,-21,-51,-3
951,-17,-51,-153,-204
952,-8,-48,-24,-120
953,-2,-5,-7,-55
954,47,47,423,141
955,-6,-42,-12,-144
956,3,22,19,94
957,-16,-96,-64,-32
958,-9,-63,-90,-171
959,13,91,39,182
960,10,79,79,99
961,-1,-6,-17,-27
962,11,66,99,0
963,-4,-12,-28,-32
964,-9,-18,-126,-225
965,22,68,134,552
966,12,85,133,193
967,23,1,369,208
968,19,20,286,495
969,-3,-22,-7,-88
970,-21,-20,-104,-503
971,24,145,217,217
972,-43,-129,-172,-1161
973,-19,-133,-19,-209
974,-21,-84,-168,-630
975,-8,-7,-103,-71
976,6,15,39,21
977,16,50,130,178
978,-32,-96,-512,-96
979,23,67,228,619
980,17,0,102,238
981,-10,-18,-138,-28
982,6,34,28,130
983,-12,-12,-156,-156
984,-6,-18,-54,-6
985,-14,-98,-112,-434
986,35,36,281,351
987,-25,-26,-401,-551
988,-32,-66,-386,-514
989,42,292,292,-2
990,9,16,79,79
991,-9,-55,-64,-100
992,19,20,134,590
993,22,87,373,65
994,-2,0,-28,-54
995,32,159,351,991
996,20,40,320,580
997,20,79,239,199
998,-8,0,-80,-72
999,-11,-44,-44,-44
1000,-24,-71,-14,-431
1001,24,49,-14,25
1002,2,14,-14,6
1003,17,35,-14,1
1004,-18,-144,-14,-558
1005,-12,-85,-14,-169
1006,-18,-90,-14,-252
1007,17,119,-14,170
1008,-24,-23,-14,-575
1009,-12,-13,-14,-349
1010,-2,-13,-14,-41
1011,28,55,-14,895
1012,-15,-44,-14,-44
1013,10,59,-14,69
1014,6,30,-14,36
1015,-45,-1,-14,-316
1016,2,13,-14,33
1017,7,49,-14,49
1018,-10,-40,-14,-110
1019,-22,-154,-14,-704
1020,8,8,-14,176
1021,2,0,-14,20
1022,-13,-104,-14,-13
1023,26,131,-14,521
1024,33,200,-14,398
1025,-16,-97,-14,-385
1026,-41,-205,-14,-451
1027,-5,-25,-14,-105
1028,10,81,-14,51
1029,16,49,-14,353
1030,-27,-108,-14,-162
1031,-11,-77,-14,-231
1032,-49,-343,-14,-1323
1033,-12,-59,-14,-59
1034,4,-2,-14,10
1035,13,90,-14,168
1036,8,66,-14,26
1037,22,109,-14,109
1038,-28,-55,-14,-363
1039,-7,-23,-14,-9
1040,-17,-136,-14,-289
1041,-3,-14,-14,-5
1042,-2,-15,-14,-65
1043,42,84,-14,462
1044,-40,-39,-14,-1159
1045,8,32,-14,72
1046,-36,-110,-14,-290
1047,15,2,-14,452
1048,-31,-187,-14,-621
1049,-18,1,-14,-35
1050,-2,-7,-14,-39
1051,13,1,-14,183
1052,-10,-70,-14,-230
1053,33,232,-14,991
1054,-18,0,-14,-126
1055,34,-1,-14,577
1056,39,272,-14,38
1057,20,0,-14,300
1058,-20,-161,-14,-261
1059,-21,-168,-14,-168
1060,-11,-34,-14,-144
1061,10,20,-14,30
1062,12,85,-14,349
1063,18,125,-14,305
1064,-12,-61,-14,-169
1065,2,11,-14,31
1066,-20,-140,-14,-60
1067,26,105,-14,183
1068,0,1,-14,1
1069,14,55,-14,321
1070,32,224,-14,64
1071,-4,-6,-14,-106
1072,10,40,-14,150
1073,-5,-11,-14,-156
1074,-6,-41,-14,-119
1075,-5,-11,-14,-161
1076,17,85,-14,136
1077,2,13,-14,21
1078,10,12,-14,22
1079,-12,-71,-14,-71
1080,1,5,-14,15
1081,8,57,-14,25
1082,0,0,-14,0
1083,8,40,-14,152
1084,-21,-105,-14,-42
1085,-1,-2,-14,-4
1086,-24,-23,-14,-599
1087,20,101,-14,621
1088,-20,-21,-14,-261
1089,7,20,-14,132
1090,-32,-192,-14,-896
1091,-1,-1,-14,-2
1092,-21,-21,-14,-189
1093,44,44,-14,1408
1094,-33,-102,-14,-1026
1095,-22,-154,-14,-550
1096,0,0,-14,0
1097,3,23,-14,44
1098,30,240,-14,180
1099,-1,-5,-14,-3
1100,-18,-71,-14,-449
1101,24,96,-14,0
1102,-7,-43,-14,-29
1103,6,0,-14,114
1104,-16,-95,-14,-463
1105,-19,-95,-14,-380
1106,-16,-110,-14,-46
1107,10,20,-14,30
1108,-37,-150,-14,-39
1109,18,71,-14,503
1110,-1,-4,-14,-5
1111,-16,-111,-14,1
1112,18,73,-14,127
1113,6,14,-14,68
1114,46,230,-14,1196
1115,0,-1,-14,-1
1116,7,44,-14,86
1117,-11,-20,-14,-108
1118,12,36,-14,276
1119,-39,-153,-14,-1011
1120,-25,-149,-14,-449
1121,19,96,-14,438
1122,-11,-22,-14,-330
1123,1,0,-14,30
1124,1,6,-14,27
1125,-13,-79,-14,-157
1126,-6,-29,-14,-35
1127,-36,-74,-14,-974
1128,-10,-60,-14,-100
1129,-25,-101,-14,-26
1130,-19,-59,-14,-97
1131,-10,-20,-14,-30
1132,9,55,-14,145
1133,-16,-48,-14,-176
1134,-52,-53,-14,-625
1135,-10,-20,-14,-160
1136,-13,-91,-14,-325
1137,26,104,-14,104
1138,3,4,-14,1
1139,-17,-86,-14,-86
1140,-12,-62,-14,-194
1141,5,16,-14,96
1142,9,28,-14,145
1143,-30,-241,-14,-211
1144,11,1,-14,155
1145,0,1,-14,1
1146,1,2,-14,17
1147,-24,-167,-14,-455
